Alliance,Infrastructure,Technology
New Pacific Order,2631200,4916719
Independent Republic Of Orange Nations,1531545,2790163
The Legion,1398400,1318711
Knights Of The Round Table,1057481,1366614
CLAWS,899648,987773
Global Alliance And Treaty Organization,804227,604049
Non Grata,1017376,472203
Doombrella,632144,982952
New Polar Order,791001,493962
The Dark Templar,637624,745103
Post Grunge Supergroup,704439,230596
Freehold of The Wolves,609749,458652
NATO,713409,322861
Green Protection Agency,553453,622507
Argent,443477,586668
Orange Defense Network,444706,609312
Doom Squad,500739,264463
Viridian Entente,381771,433217
DOOMBIRD DOOMCAVE,156226,813618
Christian Coalition Of Countries,413448,137414
Fark,407862,231761
Nuclear Proliferation League,347071,73058
Sparta,306381,158709
The Templar Knights,255675,261226
Coalition of Royal Allied Powers,264672,248276
Federation Of Armed Nations,235402,163994
The Order Of The Black Rose,207853,240346
Mostly Harmless Alliance,299361,153782
The Prussian Empire,202747,162440
The Last Remnants,222020,183861
The Grand Lodge Of Freemasons,183749,188252
Nordreich,160963,125177
Random Insanity Alliance,167255,117582
Old Guard,137135,177198
AGW Overlords,108200,176939
The Wolves,133072,46196
COBRA,104990,28863
The Phoenix Federation,59743,8024
The Gramlins,117012,114477
United Purple Nations,102773,69067
Veneris,65471,6170
WWF,73600,96112
World Task Force,120851,66521
We Are Perth Army,75497,75076
The Chaos Brotherhood,55222,115092
Union Of Communist Republics,63257,40206
Madlads Union,78434,32555
Avalanche,69004,49637
Pirates Of The Parrot Order,87395,45728
Shangri La,79063,45816
Swash Plates And Tail Rotors,97906,4413
RnR,55855,39762
The Order Of The Paradox,40358,62612
MONGOLS,66300,31211
United Equestria,45228,17197
Catholic Reich,45475,5380
Siberian Tiger Alliance,43000,27544
Interkosmos,32554,28010
The Imperial Order,31001,17784
Mushroom Kingdom,34544,18529
Church of the Holy Platypus,21322,600
Libertarian Socialist Federation,22476,3320
LoSS,31495,12282
Federation Of Buccaneers,20075,15869
TANG Clan,3931,470
Alpha Omega,14964,26189
Boards Alliance Of Protectorate States,24703,9390
Lone wolf,20000,20113
Goldenrod Accords,5514,381
North Atlantic Defense Coalition,27000,2938
The Imperial Entente,24634,2434
Kaskus,17000,14219
Wurst Alliance,20900,250
The Greater Confederacy,20000,8302
Alpha Wolves,7153,1377
Moose,11000,15309
State Of Unified Nations,13209,10796
Deathblow,1915,197
Disciples of Duckroll,11999,300
Fellowship of The Wolves,15000,4436
MI6,10200,3362
Axiom of Regularity,4761,5121
The Untied Republic,26,52
Valhalla,10000,101
CN Staff,274,80
Deck of International Card Experts,10900,1000
aNiMaLz,5430,100
COMECON,9900,0
Veterans Hospital,3999,2193
New Sith Order,4591,839
NonAligned Countries,4014,989
SNAFU,8500,819
Peaceland,1190,100
Nueva Vida,1100,63
GUNS FOR HIRE,1179,66
Cuteness Overload,166,8
The federal government,1,0
Old fogeys,37,0
No Mean City,149.99,98.6759864582775
the tea alliance,1,0
