Declaring ID|Declaring Ruler|Declaring Nation|Declaring Alliance|Declaring Alliance ID|Declaring Team|Receiving ID|Receiving Ruler|Receiving Nation|Receiving Alliance|Receiving Alliance ID|Receiving Team|War Status|Begin Date|End Date|Reason|War ID|Destruction|Attack Percent|Defend Percent|
485321|commanderragnar|Valenwood|New Pacific Order|10000|Red|478755|Democracy|UnitedNation|Freehold of The Wolves|15157|White|Active|10/1/2025 4:27:36 PM|10/8/2025 4:27:36 PM|Seal clubbing|871826|2,228.66|0|100|
247134|ShadowChaos|ShadowChaos|COBRA|13717|Maroon|485586|veracity|drunkenville|FAFO|17457|Purple|Active|10/1/2025 4:00:08 PM|10/8/2025 4:00:08 PM|WAAAAAAAAAAAAAAAAAAAAAAAAUGH!!|871825|137.39|100|0|
587834|alucardx13|The United Regions|New Pacific Order|10000|Red|609513|Lady Mineva|Empire of Autumnus|Freehold of The Wolves|15157|Brown|Active|10/1/2025 3:10:46 PM|10/8/2025 3:10:46 PM|NPO War|871824|355.13|0|100|
444115|Pile Butts|Wobblies|Freehold of The Wolves|15157|White|612177|DannyVee|Cvetko|New Pacific Order|10000|Red|Active|10/1/2025 12:33:47 PM|10/8/2025 12:33:47 PM|A general dispute|871823|275.42|19|80|
444115|Pile Butts|Wobblies|Freehold of The Wolves|15157|White|484823|Cortath|Cortath|New Pacific Order|10000|Red|Active|10/1/2025 12:23:38 PM|10/8/2025 12:23:38 PM|A general dispute|871822|166.29|0|100|
467217|aroswing|Land of Darkness|Freehold of The Wolves|15157|White|338892|ColonelTom|Henry|New Pacific Order|10000|Red|Active|10/1/2025 10:42:25 AM|10/8/2025 10:42:25 AM|For honor I guess|871821|255.55|0|100|
645029|ZeroNinjaGT|Adventis|New Pacific Order|10000|Red|160240|Pamacii|Speedy Cats|Freehold of The Wolves|15157|White|Active|10/1/2025 10:40:24 AM|10/8/2025 10:40:24 AM|Emu Hunting|871820|69.87|0|100|
467217|aroswing|Land of Darkness|Freehold of The Wolves|15157|White|232881|Yashem|Yashemia|New Pacific Order|10000|Red|Active|10/1/2025 10:33:41 AM|10/8/2025 10:33:41 AM|Was told to|871819|474.10|77|22|
639477|Lord King|Kinglordia|New Pacific Order|10000|Red|603810|Jaguar1|Chrisenstein|New Polar Order|10006|Blue|Active|10/1/2025 10:04:11 AM|10/8/2025 10:04:11 AM|Blubber for my oil lamps|871818|199.22|36|63|
231352|Wippeli|Wippelandia|Freehold of The Wolves|15157|White|551677|Edward I|Seleucia|New Pacific Order|10000|Red|Active|10/1/2025 9:53:55 AM|10/8/2025 9:53:55 AM|A general dispute|871817|112.93|0|100|
231352|Wippeli|Wippelandia|Freehold of The Wolves|15157|White|575673|aali bakht jajja|kingdom of Jajja|New Pacific Order|10000|Red|Active|10/1/2025 9:51:54 AM|10/8/2025 9:51:54 AM|A general dispute|871816|391.99|0|100|
528479|paul711|Paulinca|Non Grata|10097|Maroon|637024|deanimator|Kuzai|The Legion|10020|Purple|Active|10/1/2025 7:44:12 AM|10/8/2025 7:44:12 AM|A general dispute|871815|2,076.86|11|88|
528479|paul711|Paulinca|Non Grata|10097|Maroon|524544|Dread October|North Brightbanner|The Legion|10020|Purple|Active|10/1/2025 7:41:54 AM|10/8/2025 7:41:54 AM|A general dispute|871814|1,238.21|0|100|
528479|paul711|Paulinca|Non Grata|10097|Maroon|604046|Penultidodo|Sarmal|The Legion|10020|Purple|Active|10/1/2025 7:41:13 AM|10/8/2025 7:41:13 AM|A general dispute|871813|2,368.14|0|100|
217577|MontyKo|Tuborg|Freehold of The Wolves|15157|White|17202|Cybolt|Time and Space|New Pacific Order|10000|Red|Active|10/1/2025 7:37:10 AM|10/8/2025 7:37:10 AM|A general dispute|871812|1,403.77|0|100|
260612|Qazzian|Qaziakstan|New Pacific Order|10000|Red|243810|tagmoute|maghrib|Freehold of The Wolves|15157|White|Active|10/1/2025 7:28:17 AM|10/8/2025 7:28:17 AM|Skulls for the skull throne!|871811|1,529.59|9|90|
